,,,,,,,,
,РМ,Найменування,Тип,Заводський номер,Дата останьої повірки,Дата наступної повірки,МПІ,Де прилад
,112,Мілівольтметр,В3-41,№6957,21.12.2023,20.12.25,2,303
,111,Мілівольтметр цифровий широкополосний,В3-59,№0763,07.02.2024,06.02.2026,2,312
,111,Вольтметр універсальний швидкодіючий,В7-43,№005090,22.12.2023,21.12.2025,2,312
,112,Вимірювач потужності термісторний,М3-22А,№0769,14.03.2024,14.03.26,2,303
,111,Вимірювач потужності термісторний,М3-22А,№0326,14.03.2024,14.03.2026,2,312
,111,Частотомір електронно-лічильний,Ч3-54,№5011195,08.12.2023,07.12.2025,2,312
,112,Частотомір електронно-лічильний,Ч3-66,№9307048,10.06.2015,повірка,2,303
,111,Частотомір електронно-лічильний,Ч3-66,№9307038,здан,----,2,312
,112,Вимірювач різниці фаз та відношення рівнів,ФК2-33,№0100/0117,08.07.2021,повірка,3,303
,112,Вимірювач різниці фаз та відношення рівнів,ФК2-33,№0095/0080,08.07.2021,повірка,3,303
,112,Осцилограф універсальний,С1-99,№К01248,05.12.2001,ремонт,3,303
,111,Аналiзатор спектра,С4-60,№9803004/9602044/9602013,17.03.2017,повірка,3,312
,111,Осцилограф обчислювальний стробоскопічний прецизійний,С9-9,№0000590,19.12.2023,повірка,1,312
,111,Осцилограф обчислювальний стробоскопічний прецизійний,С9-9,№0002989,21.12.2023,повірка,1,312
,111,Генератор перепаду напруги,И1-12,№030,22.12.2023,повірка,1,312
,111,Генератор випробувальних імпульсів,И1-15,№11014,28.01.2022,повірка,1,312
,112,Прилад для повірки вимірювачів напруженості електромагнітного поля,П1-8,№09013,09.04.2003,повірка,1,303
,112,Генератор сигналів високочастотний,Г4-102А,№7526,04.03.2024,04.03.26,2,303
,112,Генератор сигналів високочастотний,Г4-111,№250116,02.07.2024,02.07.26,2,303
,112,Генератор сигналів високочастотний,Г4-116,№3780,19.07.2024,19.07.26,2,303
,111,Генератор імпульсів точної амплітуди,Г5-75,№16937,12.02.2024,ремонт,3,312
,111,Генератор сигналів спеціальної форми,Г6-17,№03380,10.01.2020,повірка,3,312
,111,Генератор сигналів спеціальної форми,Г6-37,№3626,08.01.2020,повірка,3,312
,112,Генератор сигналів високочастотний,РГ4-03,№9201010,24.07.2020,-,2,303
,112,Генератор сигналів високочастотний,РГ4-04,№9010033,06.07.2023,05.07.25,2,303
,112,Генератор сигналів високочастотний,РГ4-05,№9010028,06.07.2023,05.07.25,2,303
,112,Генератор сигналів високочастотний,РГ4-06,№507504,08.01.2024,07.01.26,2,303
,112,Генератор сигналів високочастотний,РГ4-07,№507204,09.01.2024,08.01.26,2,303
,112,Генератор сигналів високочастотний,РГ4-08,№402114,06.07.2023,05.07.25,2,303
,111,Стабілізатор напруги мережі,Б2-3,№12167,-,----,після ремонту,312
,112,Комплект нестандартного обладнання для повірки вимірювачів щільності потоку НВЧ потужності типу ПО-1,ПО-1,№11,05.04.2012,повірка,1,303
,111,Термогігрометр,Testo 608-Н1,№45007784/410,-,----,після ремонту,312
,112,Термогігрометр,Testo 608-Н1,№45025518/503,-,----,після ремонту,303
,111,Осцилограф Tektronix,TDS 3054C,№В020713,10.02.2022,повірка,3,312
,111,Генератор R&S,HMF 2550,№104609,20.07.2023,19.07.2026,3,312
